url	citing_bundled_sources	verification_status
https://ffmpeg.org/ffmpeg-filters.html#acrossfade	sources/proposals/Demuxe_R58_R69_Research_Backlog.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://ffmpeg.org/ffmpeg-filters.html#ebur128	sources/proposals/Demuxe_R307_R312_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://ffmpeg.org/ffmpeg-filters.html#tmix	sources/proposals/Demuxe_R348_R352_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://ffmpeg.org/ffmpeg-formats.html	sources/proposals/Demuxe_R332_R337_Proposals.md; sources/proposals/Demuxe_R353_R357_Proposals.md; sources/proposals/Demuxe_R43_R57_Experiment_Backlog.md; sources/proposals/Demuxe_Routing_Optimization_Ideas.md; sources/proposals/Demuxe_Sandbox_Experiment_Addendum.md; sources/proposals/R88-R101-research-backlog.md; sources/reports/R70-R75-report.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://ffmpeg.org/ffmpeg-resampler.html	sources/proposals/Demuxe_Routing_Optimization_Ideas.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://ffmpeg.org/ffmpeg-scaler.html	sources/proposals/Demuxe_R338_R342_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://ffmpeg.org/ffmpeg.html#Stream-specifiers	sources/proposals/Demuxe_R58_R69_Research_Backlog.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://ffmpeg.org/ffprobe.html	sources/proposals/Demuxe_R43_R57_Experiment_Backlog.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://github.com/FFmpeg/FFmpeg/blob/n7.1.1/libavcodec/bsf/mjpeg2jpeg.c	sources/proposals/Demuxe_R58_R69_Research_Backlog.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://github.com/FFmpeg/FFmpeg/blob/n7.1.1/libavcodec/h2645_sei.c	sources/proposals/Demuxe_R58_R69_Research_Backlog.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://github.com/FFmpeg/FFmpeg/blob/n7.1.1/libavcodec/pgssubdec.c	sources/proposals/Demuxe_Routing_Optimization_Ideas.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://github.com/FFmpeg/FFmpeg/blob/n7.1.1/tools/qt-faststart.c	sources/proposals/Demuxe_R58_R69_Research_Backlog.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://github.com/Jagalite/demuxe/blob/9abfd1b22300cf273fc0bd1a8290261281c8f3f3/docs/OPTIMIZATION-COMPLETION.md	sources/historical_plans/Demuxe_Impact_and_Qualification_Priority.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://github.com/Jagalite/demuxe/blob/9abfd1b22300cf273fc0bd1a8290261281c8f3f3/docs/RELEASE.md	sources/historical_plans/Demuxe_Impact_and_Qualification_Priority.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://github.com/Jagalite/demuxe/blob/9abfd1b22300cf273fc0bd1a8290261281c8f3f3/docs/RUNTIME-ASSETS.md	sources/historical_plans/Demuxe_Impact_and_Qualification_Priority.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://github.com/Jagalite/demuxe/blob/9abfd1b22300cf273fc0bd1a8290261281c8f3f3/native/adaptation/flac.h	sources/historical_plans/Demuxe_Impact_and_Qualification_Priority.md; sources/historical_plans/Demuxe_Individual_Runtime_Screening_Plan.md; sources/proposals/Demuxe_Routing_Optimization_Ideas.md; sources/reports/R70-R75-report.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://github.com/Jagalite/demuxe/blob/9abfd1b22300cf273fc0bd1a8290261281c8f3f3/native/remux/remux.c	sources/reports/R70-R75-report.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://github.com/Jagalite/demuxe/blob/9abfd1b22300cf273fc0bd1a8290261281c8f3f3/src/internal/native-ass.ts	sources/proposals/Demuxe_Routing_Optimization_Ideas.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://github.com/Jagalite/demuxe/blob/9abfd1b22300cf273fc0bd1a8290261281c8f3f3/src/internal/native-player.ts	sources/proposals/Demuxe_R58_R69_Research_Backlog.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://github.com/Jagalite/demuxe/blob/9abfd1b22300cf273fc0bd1a8290261281c8f3f3/src/internal/playback-plans.ts	sources/historical_plans/Demuxe_Impact_and_Qualification_Priority.md; sources/proposals/Demuxe_Routing_Optimization_Ideas.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://github.com/Jagalite/demuxe/blob/9abfd1b22300cf273fc0bd1a8290261281c8f3f3/web/native-remux-worker.js	sources/historical_plans/Demuxe_Impact_and_Qualification_Priority.md; sources/historical_plans/Demuxe_Individual_Runtime_Screening_Plan.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://github.com/Jagalite/demuxe/blob/9abfd1b22300cf273fc0bd1a8290261281c8f3f3/web/video-codec-config.js	sources/proposals/Demuxe_R58_R69_Research_Backlog.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://github.com/Jagalite/demuxe/tree/9abfd1b22300cf273fc0bd1a8290261281c8f3f3	sources/historical_plans/Demuxe_Impact_and_Qualification_Priority.md; sources/historical_plans/Demuxe_Individual_Runtime_Screening_Plan.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://github.com/chromium/chromium/blob/main/media/base/video_decoder_config.cc	sources/proposals/Demuxe_R58_R69_Research_Backlog.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://github.com/chromium/chromium/blob/main/third_party/blink/renderer/modules/mediasource/source_buffer.idl	sources/proposals/Demuxe_Routing_Optimization_Ideas.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://github.com/chromium/chromium/blob/main/third_party/blink/renderer/platform/runtime_enabled_features.json5	sources/proposals/Demuxe_Routing_Optimization_Ideas.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://github.com/google/libultrahdr	sources/proposals/Demuxe_R301_R306_Proposals.md; sources/reports/R239-R246-report.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://github.com/libjpeg-turbo/libjpeg-turbo/blob/main/doc/libjpeg.txt	sources/reports/R146-R158-report.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://github.com/libjpeg-turbo/libjpeg-turbo/blob/main/doc/usage.txt	sources/proposals/R102-R115-research-backlog.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://html.spec.whatwg.org/multipage/imagebitmap-and-animations.html	sources/proposals/Demuxe_R58_R69_Research_Backlog.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
