case,lane,round,route,video_owner,audio_owner,subtitle_owner,presentation_owner,decoder,presenter,cpu_percent,progression_rate,presented_frames,expected_frames,dropped_frames,stall,peak_summed_rss_mib,backend_render_seconds,backend_copy_seconds
rr-hevc-4k24-aac,demuxe.hybrid,2,hybrid,browser-webcodecs,mpv-pcm-worklet,mpv,demuxe-retained-frame,webcodecs,retained,70.6209,1.0015,495,496.27,unavailable,none,1043.3,0.015,0.000
rr-hevc-4k24-aac,demuxe.hybrid,3,hybrid,browser-webcodecs,mpv-pcm-worklet,mpv,demuxe-retained-frame,webcodecs,retained,64.0565,1.0000,496,496.01,unavailable,none,1073.0,0.017,0.000
rr-hevc-4k24-aac,demuxe.software,1,software,ffmpeg,mpv-pcm-worklet,mpv,demuxe-retained-frame,software,rgb,126.5812,0.9998,495,492.10,unavailable,none,1332.7,5.199,0.247
rr-hevc-4k24-aac,demuxe.software,2,software,ffmpeg,mpv-pcm-worklet,mpv,demuxe-retained-frame,software,rgb,122.1942,0.9992,494,492.41,unavailable,none,1457.5,5.125,0.247
rr-hevc-4k24-aac,demuxe.software,3,software,ffmpeg,mpv-pcm-worklet,mpv,demuxe-retained-frame,software,rgb,125.0031,0.9994,488,492.31,unavailable,none,1532.1,5.078,0.242
rr-hevc-4k24-aac,libmedia.default,1,custom,,,,,,,61.1329,0.9994,494,494.35,0,none,1085.9,0.000,0.000
rr-hevc-4k24-aac,libmedia.default,2,custom,,,,,,,59.0318,0.9998,494,494.16,0,none,1068.8,0.000,0.000
rr-hevc-4k24-aac,libmedia.default,3,custom,,,,,,,62.4268,0.9989,494,494.62,0,none,1110.2,0.000,0.000
rr-hevc-4k24-aac,video.default,1,native-direct,,,,,,,40.8594,1.0000,496,496.20,0,none,975.4,0.000,0.000
rr-hevc-4k24-aac,video.default,2,native-direct,,,,,,,51.0353,0.9994,496,495.96,0,none,954.3,0.000,0.000
rr-hevc-4k24-aac,video.default,3,native-direct,,,,,,,49.5809,1.0001,495,494.62,0,none,991.9,0.000,0.000
rr-hevc-4k24-truehd-pgs,demuxe.auto,1,hybrid,browser-webcodecs,mpv-pcm-worklet,mpv,demuxe-retained-frame,webcodecs,retained,65.1074,1.0010,496,494.52,unavailable,none,1174.4,0.013,0.000
rr-hevc-4k24-truehd-pgs,demuxe.auto,2,hybrid,browser-webcodecs,mpv-pcm-worklet,mpv,demuxe-retained-frame,webcodecs,retained,69.1447,1.0025,493,495.77,unavailable,none,1130.5,0.018,0.000
rr-hevc-4k24-truehd-pgs,demuxe.auto,3,hybrid,browser-webcodecs,mpv-pcm-worklet,mpv,demuxe-retained-frame,webcodecs,retained,61.4690,1.0005,496,496.75,unavailable,none,1101.2,0.019,0.000
rr-hevc-4k24-truehd-pgs,demuxe.hybrid,1,hybrid,browser-webcodecs,mpv-pcm-worklet,mpv,demuxe-retained-frame,webcodecs,retained,69.4265,1.0000,490,495.00,unavailable,none,1108.1,0.017,0.000
